,0,,,
SHAHALLOYS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SHAILY,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SHAKTIPUMP,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
SHALBY,Healthcare,Healthcare,Healthcare Services,Hospital
SHALPAINTS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
SHANKARA,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
SHANTI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
SHANTIGEAR,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SHARDACROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SHARDAMOTR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SHAREINDIA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
SHEKHAWATI,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SHEMAROO,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
SHILPAMED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SHIVALIK,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SHIVAMAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SHIVAMILLS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SHIVATEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SHK,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
SHOPERSTOP,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
SHRADHA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SHREDIGCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SHREECEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SHREEPUSHK,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
SHREERAMA,Industrials,Capital Goods,Industrial Products,Packaging
SHRENIK,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SHREYANIND,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SHRIPISTON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SHRIRAMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SHRIRAMPPS,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SHYAMCENT,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
SHYAMMETL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SHYAMTEL,Services,Services,Commercial Services & Supplies,Trading & Distributors
SICALLOG,Services,Services,Transport Services,Logistics Solution Provider
SIEMENS,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SIGACHI,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SIGIND,Services,Services,Commercial Services & Supplies,Trading & Distributors
SIGMA,Information Technology,Information Technology,IT - Services,IT Enabled Services
SIGNATURE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SIGNPOST,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
SIKKO,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SIL,Consumer Discretionary,Realty,Realty,Real Estate related services
SILGO,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SILINV,Financial Services,Financial Services,Finance,Investment Company
SILLYMONKS,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
SILVERTUC,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SIMBHALS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
SIMPLEXINF,Industrials,Construction,Construction,Civil Construction
SINCLAIR,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
SINDHUTRAD,Services,Services,Transport Services,Logistics Solution Provider
SINTERCOM,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SIRCA,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
SIS,Consumer Discretionary,Consumer Services,Other Consumer Services,Other Consumer Services
SITINET,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
SIYSIL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SJS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SJVN,Utilities,Power,Power,Power Generation
SKFINDIA,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
SKIPPER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SKMEGGPROD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
SKYGOLD,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SMARTLINK,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
SMCGLOBAL,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
SMLISUZU,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
SMLT,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SMSLIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SMSPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SNOWMAN,Services,Services,Transport Services,Logistics Solution Provider
SOBHA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SOFTTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SOLARA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SOLARINDS,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
SOMANYCERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
SOMATEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SOMICONVEY,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SONACOMS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SONAMLTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
SONATSOFTW,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SOTL,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
SOUTHBANK,Financial Services,Financial Services,Banks,Private Sector Bank
SOUTHWEST,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
SPAL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
SPANDANA,Financial Services,Financial Services,Finance,Microfinance Institutions
SPARC,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SPCENET,Services,Services,Commercial Services & Supplies,Trading & Distributors
SPECIALITY,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
SPECTRUM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SPENCERS,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
SPIC,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
SPLIL,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
SPLPETRO,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
SPMLINFRA,Industrials,Construction,Construction,Civil Construction
SPORTKING,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SRD,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
SREEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
SRF,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
SRGHFL,Financial Services,Financial Services,Finance,Housing Finance Company
SRHHYPOLTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
SRM,Industrials,Construction,Construction,Civil Construction
SRPL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
SSDL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
SSWL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STALLION,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
STANLEY,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
STAR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
STARCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
STARHEALTH,Financial Services,Financial Services,Insurance,General Insurance
STARPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
STARTECK,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
STCINDIA,Services,Services,Commercial Services & Supplies,Trading & Distributors
STEELCAS,Industrials,Capital Goods,Industrial Products,Castings & Forgings
STEELCITY,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
STEELXIND,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
STEL,Financial Services,Financial Services,Finance,Investment Company
STERTOOLS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STLTECH,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
STOVEKRAFT,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
STYLAMIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
STYLEBAAZA,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
STYRENIX,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
SUBEXLTD,Information Technology,Information Technology,IT - Software,Software Products
SUBROS,Industrials,Capital Goods,Industrial Products,Other Industrial Products
SUDARSCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
SUKHJITS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
SULA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
SUMICHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
SUMIT,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SUMMITSEC,Financial Services,Financial Services,Finance,Investment Company
SUNCLAY,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNDARAM,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
SUNDARMFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SUNDARMHLD,Financial Services,Financial Services,Finance,Investment Company
SUNDRMBRAK,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNDRMFAST,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUNDROP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
SUNFLAG,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SUNPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SUNTECK,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SUNTV,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
SUPERHOUSE,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
SUPERSPIN,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SUPRAJIT,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SUPREME,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SUPREMEENG,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SUPREMEIND,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SUPREMEINF,Industrials,Construction,Construction,Civil Construction
SUPRIYA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SURAJEST,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SURAJLTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SURAKSHA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
SURANASOL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SURANAT&P,Utilities,Power,Power,Power Generation
SURYALAXMI,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SURYAROSNI,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SURYODAY,Financial Services,Financial Services,Banks,Other Bank
SUTLEJTEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SUULD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
SUVEN,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
SUVENPHAR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SUVIDHAA,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
SUYOG,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
SUZLON,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SVLL,Services,Services,Transport Services,Logistics Solution Provider
SVPGLOB,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SWANENERGY,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
SWARAJENG,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
SWELECTES,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SWIGGY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
SWSOLAR,Industrials,Construction,Construction,Civil Construction
SYMPHONY,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
SYNCOMF,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SYNGENE,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
SYRMA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TAINWALCHM,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
TAJGVK,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
TAKE,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
TALBROAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
TANLA,Information Technology,Information Technology,IT - Software,Software Products
TARACHAND,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
